,Date,Unix,Ticker,DE Ratio,Price
0,2004-01-30 19:01:02,1075449662.0,a,0.407,36.65
1,2004-04-13 04:07:11,1081793231.0,a,0.375,31.87
2,2004-12-13 21:37:34,1102934254.0,a,0.323,23.84
3,2005-01-22 05:17:19,1106331439.0,a,0.322,21.8
4,2006-01-09 02:35:16,1136734516.0,a,0,34.65
5,2006-06-21 11:01:16,1150851676.0,a,0.368,32.18
6,2006-08-19 10:42:01,1155948121.0,a,0.396,31.8
7,2007-02-20 17:46:56,1171954016.0,a,0.411,32.48
8,2007-04-12 05:07:51,1176318471.0,a,0.411,34.62
9,2008-01-23 19:28:50,1201076930.0,a,0.645,32.16
10,2008-02-14 04:44:34,1202924674.0,a,0.645,32.68
11,2008-04-26 04:49:23,1209149363.0,a,0.67,31.53
12,2008-12-06 19:21:33,1228551693.0,a,0.83,17.26
